ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410001,2,0,2,39,1,2,2012,20,3,4,44.20094444,-123.171875,12,2,2,3,1,0,2,10,0,2,1,37,2,0,0,0,0,9,1,0,1,0,0,0,0,0.0,0,999,1,0,0,0,9,55,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410002,1,1,2,51,1,6,2012,19,13,3,45.48111667,-122.6733972,8,0,3,2,1,0,3,2,0,1,0,45,1,2,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410003,2,0,3,51,1,5,2012,22,13,3,45.47268056,-122.6400833,12,1,1,1,1,0,3,1,0,1,1,31,2,1,0,0,0,9,2,0,0,0,0,0,0,0.0,1,999,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,0
410004,2,0,6,39,1,1,2012,17,2,3,44.06760833,-123.4586528,12,6,1,1,1,0,2,10,0,1,0,21,4,2,0,0,1,9,1,0,1,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0
410006,2,0,3,27,1,6,2012,12,2,3,45.46926667,-121.5626472,12,6,1,1,1,0,1,1,0,2,2,35,3,0,0,0,0,9,1,0,1,0,0,0,0,0.0,0,999,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0
410007,1,1,1,29,1,5,2012,9,4,6,42.43275278,-123.1634889,8,0,3,3,1,0,1,2,0,1,0,72,2,0,0,0,0,9,0,0,0,0,1,0,0,0.0,1,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410008,1,1,1,53,1,6,2012,10,4,4,45.05774722,-123.09005,9,0,1,1,1,0,1,1,0,1,0,41,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410009,1,1,1,51,1,7,2012,18,15,6,45.48736667,-122.5912722,8,0,3,2,1,0,2,10,0,1,0,39,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,7
410010,2,0,12,47,1,1,2012,3,3,3,45.00684444,-122.9757556,12,2,1,1,1,0,2,10,0,2,1,20,8,4,0,0,0,9,1,0,1,0,0,0,0,0.0,0,999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410011,1,0,1,33,1,3,2012,99,5,4,42.650625,-123.5849111,42,0,1,1,4,0,9,99,0,1,0,22,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410012,1,0,3,31,1,6,2012,21,2,2,44.70799167,-121.1778528,1,0,1,1,4,0,3,5,0,1,1,43,1,2,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,1
410013,3,0,8,67,1,1,2012,19,13,3,45.49855833,-122.7616611,12,2,1,1,1,0,2,5,0,1,1,32,5,3,0,0,0,9,2,1,0,0,0,0,0,0.0,0,999,1,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,99,0
410014,1,1,3,39,1,5,2012,14,2,3,44.07569167,-122.77945,8,0,1,1,1,0,1,10,0,1,0,36,4,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410015,1,1,3,39,1,7,2012,21,1,1,43.82846389,-123.031725,9,0,1,1,1,0,2,10,0,1,0,15,3,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410016,1,1,1,41,1,1,2012,18,13,2,44.98670833,-124.0062194,8,0,1,1,1,0,3,2,0,1,0,47,0,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410017,1,0,1,1,1,3,2012,12,1,1,44.91278889,-117.8195417,59,0,1,1,8,0,1,4,0,1,0,61,0,1,0,0,0,9,0,1,0,0,0,0,0,0.0,1,999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410018,1,1,1,47,1,4,2012,16,3,3,45.18126389,-122.8048444,8,0,3,1,1,0,1,10,0,1,0,44,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
