ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410001,2,0,2,33,1,3,2013,15,13,2,42.41853889,-123.3668778,12,6,2,2,1,0,1,1,0,1,0,60,1,1,0,0,0,9,0,0,1,0,0,0,0,1.0,0,999,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,1,0,0,0,99,0
410002,1,1,1,3,1,3,2013,12,4,4,44.49848611,-123.3614083,8,0,1,1,1,0,1,10,0,1,0,77,0,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,9,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410003,1,0,4,51,1,4,2013,6,16,6,45.58666111,-122.6922722,43,0,1,1,4,0,3,2,0,1,1,33,4,0,0,0,0,9,0,0,0,0,0,0,0,0.0,1,68,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,1
410004,1,0,1,33,1,6,2013,21,4,3,42.43715,-123.4282278,17,0,1,1,4,0,2,5,0,1,1,36,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410006,1,0,1,19,1,5,2013,11,1,1,42.76646944,-123.3328861,42,0,1,1,4,0,1,4,0,1,0,71,1,0,0,0,0,9,0,0,0,0,1,0,0,0.0,1,999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
410007,2,0,6,29,1,6,2013,18,2,3,42.40892222,-122.5464611,12,6,1,1,1,0,2,10,0,2,0,27,4,2,0,0,0,9,0,1,1,0,0,0,0,0.0,0,999,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0
410008,2,0,5,41,1,1,2013,10,2,2,44.47246667,-124.079825,54,11,1,1,1,0,1,1,0,2,0,42,1,4,0,0,0,9,0,1,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410009,2,0,4,59,1,1,2013,10,3,3,45.68528611,-119.3756056,12,1,8,1,1,0,1,1,0,1,0,50,2,2,0,0,0,0,0,1,0,0,1,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,0
410010,1,0,6,43,1,1,2013,18,11,1,44.65179167,-123.0613194,1,0,1,1,3,0,2,1,0,1,0,24,5,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410011,1,1,1,51,1,1,2013,17,13,6,45.53365278,-122.47725,8,0,3,3,1,0,3,1,0,1,0,57,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
