STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PCARBUR,PCYLINDER,PDISPLACE,PMCYCL_CY,PMCYCL_WT,PTIRE_SZE,PTON_RAT,PTRK_WT,PTRKWTVAR,PVIN_REST,PWHLDRWHL,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PIMPACT2,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
1,10074,3,2,1,14,2,7,35,12,1,2,0,1,6,12,481,12481,31,2008,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,9,1,14,0,0,0,0
1,10303,3,2,0,22,6,11,31,12,6,3,0,1,6,35,401,35401,14,1996,JN8AR05Y1TW0,J,N,8,A,R,0,5,Y,1,T,W,0,P,NISS,PFI,UT,96,17,4135,,0,1063,,G,,F,6,201,,,15R235,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,98,6,2,14,0,0,0,0
1,10389,2,1,0,19,7,14,50,14,0,2,0,1,6,85,881,85881,66,1996,1XKWDB9X2TJ7,1,X,K,W,D,B,9,X,2,T,J,7,T,KW,W90,TR,96,17,,8,0,0,CON,D,,,6,893,,,,,00000,00,,64,1,57,714138,57714138,3,6,10,1,0,0,0,0,0,0,0,0,12,12,2,3,12,0,0,0,0
1,10389,3,1,0,19,7,14,50,14,0,2,0,1,6,23,481,23481,31,2000,1GTEK19T6YE2,1,G,T,E,K,1,9,T,6,Y,E,2,T,GMC,NK1,3C,0,17,,2,1575,1435,SIE,G,,,8,325,,,,B,4621,02,U,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,3,3,6,2,12,0,0,0,0
1,10452,2,1,0,8,8,16,33,59,0,3,0,1,6,23,421,23421,15,2001,1GKEC13T11J1,1,G,K,E,C,1,3,T,1,1,J,1,T,GMC,YUK,4W,1,17,,2,0,1160,YUK,G,,,8,325,,,,B,4878,00,K,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,12,0,0,0,0
1,10452,3,1,0,8,8,16,33,59,0,3,0,1,6,6,52,6052,6,2008,3A8FY58B28T2,3,A,8,F,Y,5,8,B,2,8,T,2,P,CHRY,PTC,SV,8,17,3076,,0,1030,,G,,F,4,148,,,16R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,98,2,3,12,0,0,0,0
1,10493,2,1,3,26,8,22,0,14,0,2,0,1,6,19,18,19018,4,2003,1G6DM57N3301,1,G,6,D,M,5,7,N,3,3,0,1,P,CADI,C/T,4D,3,17,3509,,0,1134,,G,,F,6,194,,,16R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,98,6,2,12,0,0,0,1
1,10544,2,1,2,24,9,22,20,14,0,2,0,1,6,18,2,18002,4,1988,1G4HP54C6JH4,1,G,4,H,P,5,4,C,6,J,H,4,P,BUIC,LCF,4D,88,17,3140,,0,1108,,G,,F,6,231,,,15R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,12,0,0,0,1
1,10696,3,2,0,7,12,5,45,12,6,3,0,0,6,12,999,12999,99,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,98,8,8,12,0,0,0,0
1,10728,2,1,0,17,12,20,23,1,0,3,0,91,6,99,999,99999,99,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,11,8,8,12,0,0,0,0
