STATE,ST_CASE,EVENTNUM,VEH_NO,VEventNum,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10001,1,1,1,1,55,63,5555,55
1,10001,2,1,2,1,11,34,9999,77
1,10001,3,1,3,1,55,67,5555,55
1,10001,4,1,4,1,0,1,9999,77
1,10001,5,1,5,1,99,38,9999,77
1,10001,6,1,6,1,6,42,9999,77
1,10002,1,1,1,1,55,68,5555,55
1,10002,2,1,2,1,55,64,5555,55
1,10002,3,1,3,1,55,69,5555,55
1,10002,4,1,4,1,55,68,5555,55
1,10002,5,1,5,1,55,63,5555,55
1,10002,6,1,6,1,11,35,9999,77
1,10002,7,1,7,1,61,35,9999,77
1,10002,8,1,8,1,5,35,9999,77
1,10003,1,1,1,1,55,68,5555,55
1,10003,2,1,2,1,12,12,2,12
1,10003,2,2,1,1,12,12,2,12
1,10005,1,1,1,1,55,63,5555,55
1,10005,2,1,2,1,12,34,9999,77
1,10006,1,1,1,1,55,63,5555,55
1,10006,2,1,2,1,12,34,9999,77
1,10006,3,1,3,1,0,1,9999,77
1,10007,1,1,1,1,55,63,5555,55
1,10007,2,1,2,1,12,30,9999,77
1,10007,3,1,3,1,55,69,5555,55
1,10007,4,1,4,1,12,12,2,10
1,10007,4,2,1,1,12,12,2,10
1,10008,1,1,1,1,55,68,5555,55
1,10008,2,1,2,1,55,64,5555,55
1,10008,3,1,3,1,5,42,9999,77
1,10008,4,1,4,1,0,1,9999,77
1,10008,5,1,5,1,0,3,9999,77
1,10009,1,1,1,1,55,68,5555,55
1,10009,2,1,2,1,55,64,5555,55
1,10009,3,1,3,1,12,8,9999,77
1,10009,4,1,4,1,12,8,9999,77
1,10010,1,1,1,1,55,68,5555,55
1,10010,2,1,2,1,55,64,5555,55
1,10010,3,1,3,1,11,42,9999,77
1,10010,4,1,4,1,0,2,9999,77
1,10011,1,1,1,2,12,12,1,6
1,10011,1,2,1,2,12,12,1,6
1,10012,1,1,1,1,12,8,9999,77
1,10013,1,1,1,1,55,63,5555,55
1,10013,2,1,2,1,12,42,9999,77
1,10013,3,1,3,1,0,1,9999,77
1,10014,1,1,1,1,9,8,9999,77
1,10015,1,1,1,1,55,68,5555,55
1,10015,2,1,2,1,55,64,5555,55
1,10015,3,1,3,1,55,69,5555,55
1,10015,4,1,4,1,55,64,5555,55
1,10015,5,1,5,1,9,42,9999,77
1,10016,1,1,1,1,55,63,5555,55
1,10016,2,1,2,1,55,67,5555,55
1,10016,3,1,3,1,55,69,5555,55
1,10016,4,1,4,1,12,12,2,9
1,10016,4,2,1,1,12,12,2,9
1,10017,1,1,1,1,12,8,9999,77
1,10018,1,1,1,1,55,64,5555,55
1,10018,2,1,2,1,11,34,9999,77
1,10018,3,1,3,1,55,67,5555,55
1,10018,4,1,4,1,0,1,9999,77
