ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,2,2,2,2,2,2,2,2,2,2
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,0,0,27,0,0,0,0,0,0,0
10006,0,0,0,0,0,0,0,0,0,0
10007,13,13,13,13,13,13,13,13,13,13
10008,18,18,18,18,18,18,18,18,18,18
10009,0,0,0,0,0,0,0,0,0,0
10010,11,11,11,11,11,11,11,11,11,11
10011,0,0,0,0,0,0,0,0,0,0
10012,0,0,0,0,0,0,0,0,0,0
10013,0,0,0,0,0,0,21,0,0,0
10014,16,0,20,0,0,40,0,4,19,20
10015,3,3,3,3,3,3,3,3,3,3
10016,0,0,0,0,0,0,0,0,0,0
10017,0,0,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0,0,0,0
10019,15,11,17,7,22,5,10,0,22,22
10020,0,0,0,0,0,0,0,0,0,0
10021,10,10,10,10,10,10,10,10,10,10
10022,1,1,1,1,1,1,1,1,1,1
10023,0,0,0,0,0,0,0,0,0,0
10024,0,0,0,0,0,0,0,0,0,0
10025,0,0,0,0,0,0,0,0,0,0
10026,12,23,0,0,0,6,16,0,9,27
10027,16,16,16,16,16,16,16,16,16,16
10028,0,0,19,0,0,0,0,0,0,0
10029,0,0,0,0,0,0,0,0,0,0
10030,18,18,14,23,13,10,5,12,18,14
10031,15,15,15,15,15,15,15,15,15,15
10032,0,0,0,0,0,0,24,0,0,0
10033,0,21,0,0,21,0,45,0,31,11
10034,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0
10036,0,0,0,0,0,0,0,0,0,0
10037,26,26,26,26,26,26,26,26,26,26
10038,0,0,0,0,0,0,0,0,0,0
10039,12,12,12,12,12,12,12,12,12,12
10040,0,0,0,0,0,0,0,0,0,0
10041,1,1,1,1,1,1,1,1,1,1
10042,22,22,22,22,22,22,22,22,22,22
10043,13,7,8,14,24,21,13,0,25,13
10044,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,0
10046,0,0,0,0,0,0,0,0,0,0
10047,36,36,36,36,36,36,36,36,36,36
10048,20,20,20,20,20,20,20,20,20,20
10049,31,31,31,31,31,31,31,31,31,31
10050,0,0,0,0,0,0,20,0,0,0
10051,21,21,21,21,21,21,21,21,21,21
10052,2,2,2,2,2,2,2,2,2,2
10053,7,30,0,5,0,0,35,0,13,27
10054,19,19,19,19,19,19,19,19,19,19
10055,0,0,0,0,0,0,0,0,0,0
10056,0,0,0,0,0,0,0,0,0,0
10057,0,0,0,0,0,0,0,0,0,0
10058,0,0,0,0,0,0,0,0,0,0
10059,34,34,34,34,34,34,34,34,34,34
10060,3,3,3,3,3,3,3,3,3,3
10061,0,0,0,0,0,0,0,0,0,0
10063,11,11,11,11,11,11,11,11,11,11
10064,0,0,0,0,0,0,0,0,0,3
10065,5,5,5,5,5,5,5,5,5,5
10066,0,0,0,0,0,0,0,0,0,0
10067,0,0,0,0,0,0,0,0,0,0
10068,0,0,0,0,0,0,0,0,0,0
10069,0,0,0,0,0,0,0,0,0,0
10070,0,0,0,0,0,0,0,0,0,0
10071,1,1,1,1,1,1,1,1,1,1
10072,22,22,22,22,22,22,22,22,22,22
10073,8,0,2,0,0,0,14,0,12,0
10074,0,0,0,0,0,0,0,0,0,0
10075,14,10,2,2,48,21,2,9,6,2
10076,13,13,13,13,13,13,13,13,13,13
10077,27,21,0,0,0,0,13,0,0,15
10078,0,0,0,0,0,0,0,0,0,0
10079,0,0,0,0,0,0,0,0,0,0
10080,0,0,21,5,0,0,0,5,18,0
10081,20,20,20,20,20,20,20,20,20,20
10082,0,0,10,0,0,0,0,0,0,24
10083,0,0,0,0,0,0,0,0,0,0
10084,10,0,0,0,12,12,16,45,3,0
10085,0,0,0,0,0,0,0,0,0,0
10086,0,0,0,0,0,0,0,0,0,0
10087,0,0,0,0,0,0,0,0,0,0
10088,0,0,0,0,0,0,0,0,0,0
10089,20,20,20,20,20,20,20,20,20,20
10090,0,0,0,0,0,0,0,0,0,0
10091,6,6,6,6,6,6,6,6,6,6
10092,18,18,18,18,18,18,18,18,18,18
10093,0,20,0,0,0,0,0,0,0,0
10094,4,4,4,4,4,4,4,4,4,4
10095,0,0,0,0,0,0,0,0,0,0
10096,0,0,0,0,0,0,0,0,0,0
10097,0,0,0,0,0,0,0,0,0,0
10098,0,0,0,0,0,9,0,0,0,0
10099,0,23,0,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0,0,5
10101,0,0,0,0,0,0,0,0,0,0
10102,0,0,0,0,0,0,0,0,0,0
10103,0,0,25,0,7,35,21,0,8,0
10104,21,21,21,21,21,21,21,21,21,21
10105,0,0,0,0,0,0,0,0,0,0
10106,0,0,0,0,0,0,0,0,0,0
10107,0,0,0,0,0,0,0,0,0,0
10108,11,18,19,7,13,37,25,34,23,28
10109,14,14,14,14,14,14,14,14,14,14
10110,0,0,0,0,0,0,31,29,0,0
10111,12,26,0,32,28,9,19,15,0,16
10112,23,23,23,23,23,23,23,23,23,23
10113,0,13,0,0,0,0,0,0,0,0
10114,0,0,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0,0,0
10116,0,0,0,0,0,0,0,0,0,0
10117,0,0,0,0,0,11,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,0
10120,0,0,0,0,0,0,0,0,0,0
10121,0,0,0,0,0,0,0,0,0,0
10122,0,0,0,0,0,0,24,0,0,0
10123,27,27,27,27,27,27,27,27,27,27
10124,27,0,23,0,10,0,0,0,0,0
10125,0,0,0,0,0,0,0,0,0,0
10126,0,0,0,18,0,0,0,0,0,0
10127,0,0,26,0,15,22,0,0,0,0
10128,19,19,19,19,19,19,19,19,19,19
10129,17,17,17,17,17,17,17,17,17,17
10130,0,0,0,0,0,0,0,0,0,0
10131,30,39,25,14,22,21,33,19,11,12
10132,0,0,0,0,0,0,0,0,0,0
10133,0,0,0,0,0,0,0,0,0,0
10134,20,0,0,0,0,0,0,0,0,0
10135,17,17,17,17,17,17,17,17,17,17
10136,18,18,18,18,18,18,18,18,18,18
10137,0,0,0,0,6,18,0,0,18,25
10138,0,0,0,0,0,0,0,0,0,0
10139,0,0,0,0,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,0,0,0
10141,0,0,0,0,0,0,0,0,0,0
10142,0,0,0,14,18,24,0,2,54,10
10143,0,0,0,0,0,0,0,0,0,0
10144,29,29,29,29,29,29,29,29,29,29
10145,30,30,30,30,30,30,30,30,30,30
10146,0,0,0,0,0,0,0,0,0,0
10147,0,0,0,0,0,0,0,0,0,0
10148,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,0,0,0,0,0,0,0
10151,0,0,0,0,0,0,0,0,0,0
10152,0,0,0,0,0,0,0,0,17,0
10153,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0,9
10155,0,0,0,0,0,0,0,0,0,0
10156,14,20,15,15,0,0,0,0,0,0
10157,42,42,42,42,42,42,42,42,42,42
10158,0,0,0,0,0,0,0,0,0,0
10159,15,9,0,12,0,47,21,14,11,9
10160,0,0,17,0,0,0,0,0,0,0
10161,13,13,13,13,13,13,13,13,13,13
10162,2,2,2,2,2,2,2,2,2,2
10163,0,0,0,0,0,0,0,0,0,0
10164,0,0,0,0,0,0,0,0,0,0
10165,0,0,0,0,0,0,0,0,0,0
10166,0,0,0,0,0,0,0,0,0,0
10167,0,0,0,0,9,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,0,0,0,0,0,14,0,0,0,0
10171,0,0,0,0,0,0,0,0,0,0
10172,0,0,0,0,0,0,0,0,0,0
10173,0,0,9,0,0,0,0,0,0,0
10174,17,18,21,25,17,17,20,17,17,17
10175,0,10,0,24,33,0,15,0,0,13
10176,33,33,33,33,33,33,33,33,33,33
10177,0,0,0,0,0,0,0,0,0,0
10178,0,0,0,0,0,0,18,0,19,0
10179,0,0,0,0,0,0,0,0,0,0
10180,13,13,13,13,13,13,13,13,13,13
10181,0,0,0,0,0,0,0,0,0,0
10182,0,18,0,30,0,20,0,0,14,0
10183,0,0,0,0,0,0,0,0,0,0
10184,20,20,20,20,20,20,20,20,20,20
10185,0,0,19,0,0,12,21,0,0,0
10186,0,0,0,0,0,0,0,0,0,0
10187,0,0,0,0,0,0,0,0,0,0
10188,0,0,0,19,0,0,0,0,0,7
10189,0,0,0,3,44,23,0,0,0,0
10190,19,19,19,19,19,19,19,19,19,19
10191,35,0,0,12,26,16,0,0,0,9
10192,0,0,0,0,0,0,0,0,0,0
10193,0,12,0,0,0,0,0,22,0,0
10194,17,26,30,21,20,32,57,14,11,23
10195,9,9,9,9,9,9,9,9,9,9
10196,29,29,29,29,29,29,29,29,29,29
10197,17,22,21,32,24,28,26,18,20,14
10198,0,0,0,0,0,0,0,0,0,0
10199,0,0,24,9,0,0,15,13,15,22
10200,0,0,0,0,0,0,0,7,0,0
10201,0,0,0,0,9,0,0,0,0,0
10202,0,0,28,0,0,0,0,0,0,0
10203,0,0,0,0,0,0,0,0,0,0
10204,18,18,18,18,18,18,18,18,18,18
10205,0,0,7,0,0,0,0,0,0,0
10206,34,25,6,0,0,15,18,14,0,22
10207,0,0,0,0,0,0,0,0,0,0
10208,0,0,0,0,0,10,0,0,0,0
10209,0,0,0,0,0,4,0,0,3,9
10210,0,0,0,0,0,0,0,0,0,0
10211,3,3,3,3,3,3,3,3,3,3
10212,0,0,0,0,0,0,0,0,0,0
10213,22,22,22,22,22,22,22,22,22,22
10214,0,0,0,0,0,0,0,0,0,13
10215,23,23,23,23,23,23,23,23,23,23
10216,0,0,0,0,0,0,0,0,0,0
10217,0,0,0,0,0,0,0,0,0,0
10218,0,0,0,0,0,0,0,0,0,0
10219,0,0,0,0,0,0,0,0,0,0
10220,0,0,0,0,0,0,0,0,0,0
10221,19,0,0,0,0,26,0,0,0,0
10222,21,21,21,21,21,21,21,21,21,21
10223,12,12,12,12,12,12,12,12,12,12
10224,14,14,14,14,14,14,14,14,14,14
10225,17,17,17,17,17,17,17,17,17,17
10226,28,20,0,0,0,0,0,0,4,0
10227,0,0,0,0,0,0,0,0,0,0
10228,0,0,0,0,0,0,0,13,0,0
10229,0,15,19,13,0,0,0,0,0,8
10230,0,0,0,0,0,0,0,0,0,0
10231,18,18,18,18,18,18,18,18,18,18
10232,0,0,0,0,0,0,0,0,0,0
10233,30,30,30,30,30,30,30,30,30,30
10234,9,9,9,9,9,9,9,9,9,9
10235,20,20,20,20,20,20,20,20,20,20
10236,28,28,28,28,28,28,28,28,28,28
10237,0,0,0,0,0,0,0,0,0,0
10238,11,23,18,11,13,10,0,0,7,0
10239,0,0,17,0,0,0,0,0,22,0
10240,0,0,0,0,0,0,0,0,0,0
10241,28,17,24,19,20,17,14,22,17,27
10242,0,0,0,32,26,10,3,0,0,0
10243,0,0,0,0,0,0,0,0,0,0
10244,23,23,23,23,23,23,23,23,23,23
10245,0,0,0,0,0,0,0,0,0,0
10246,0,30,0,0,33,25,0,33,0,19
10247,16,35,19,24,10,19,19,33,33,10
10248,14,0,0,0,19,0,17,0,25,0
10249,0,0,0,28,0,0,0,0,0,26
10250,39,20,25,12,28,20,28,12,25,0
10251,0,0,0,0,0,0,0,0,0,0
10252,23,0,13,0,0,0,0,0,19,0
10253,35,35,35,35,35,35,35,35,35,35
10254,0,0,0,0,0,0,0,0,0,0
10255,0,0,0,0,0,0,0,0,0,0
10257,0,0,0,0,0,0,0,0,0,0
10258,24,24,24,24,24,24,24,24,24,24
10259,0,0,0,0,0,0,0,0,0,0
10260,0,0,0,0,0,0,0,0,0,0
10261,0,0,0,0,0,0,0,0,0,0
10262,14,14,14,14,14,14,14,14,14,14
10263,0,0,0,0,0,0,0,0,0,0
10264,0,0,0,0,0,0,0,0,0,0
10265,0,0,0,0,0,0,0,0,0,0
10266,0,0,0,0,0,0,0,0,0,0
10267,0,0,0,0,0,0,0,0,0,0
10268,0,0,0,0,0,0,0,0,0,0
10269,0,0,0,0,0,0,0,0,0,0
10270,16,29,17,0,8,0,10,18,12,18
10271,9,0,0,11,13,0,19,19,10,0
10272,0,0,0,0,0,0,0,0,0,0
10273,19,19,19,19,19,19,19,19,19,19
10274,16,16,16,16,16,16,16,16,16,16
10275,0,0,0,0,0,0,0,0,0,0
10276,0,0,0,0,0,0,0,0,0,0
10277,0,0,2,14,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,0,0,0
10281,0,0,0,0,0,0,0,0,0,0
10282,0,0,0,0,0,0,25,0,0,0
10283,0,0,0,0,0,0,0,0,0,0
10284,0,0,0,0,0,0,0,0,0,0
10285,0,0,0,0,0,0,0,0,0,0
10286,27,26,22,18,0,7,0,13,15,26
10287,0,0,0,0,0,0,0,0,0,0
10288,15,14,0,14,0,0,16,0,0,0
10289,0,0,0,0,0,0,0,0,0,0
10290,25,0,0,14,37,13,26,14,0,8
10291,0,0,16,0,0,0,0,0,0,0
10292,0,0,0,0,0,0,0,0,0,0
10293,20,26,32,7,36,8,15,11,9,15
10294,0,0,14,0,0,0,0,0,0,0
10295,0,0,0,0,0,0,0,0,0,0
10296,19,19,19,19,19,19,19,19,19,19
10297,0,0,0,0,0,0,0,0,0,0
10298,20,20,20,20,20,20,20,20,20,20
10299,10,0,0,0,0,13,0,0,0,0
10300,16,30,13,4,5,16,13,6,15,10
10301,0,24,36,0,20,0,20,19,23,7
10302,0,0,0,0,0,0,0,0,0,0
10303,10,10,10,10,10,10,10,10,10,10
10304,0,0,0,0,0,0,0,0,0,0
10305,0,0,0,0,0,0,0,0,0,0
10306,9,0,0,0,0,0,0,0,0,0
10307,0,0,0,0,0,0,0,0,0,0
10308,21,0,16,26,31,0,27,19,12,17
10309,0,46,0,0,15,0,0,0,0,20
10310,0,0,0,0,0,0,0,0,0,0
10311,21,21,21,21,21,21,21,21,21,21
10312,20,20,20,20,20,20,20,20,20,20
10313,0,0,0,0,0,0,0,0,0,0
10314,5,5,5,5,5,5,5,5,5,5
10315,0,0,0,9,0,0,15,0,21,33
10316,0,0,0,0,0,0,0,0,0,0
10317,2,2,2,2,2,2,2,2,2,2
10318,17,17,17,17,17,17,17,17,17,17
10319,0,0,0,0,0,0,0,0,0,0
10320,0,0,0,0,0,0,0,0,0,0
10321,0,0,0,0,0,0,0,0,0,0
10322,12,12,12,12,12,12,12,12,12,12
10323,0,0,0,0,0,0,0,0,0,22
10324,0,0,0,7,0,0,0,0,0,0
10325,0,0,0,0,0,0,0,0,0,0
10326,0,0,0,0,0,0,0,0,0,0
10327,0,0,0,0,0,0,0,0,0,0
10328,0,0,0,0,0,0,0,0,16,0
10329,10,10,22,10,25,10,10,10,10,10
10330,0,0,0,0,0,0,0,0,0,0
10331,20,0,26,31,7,16,14,18,5,17
10332,19,0,0,0,0,0,0,0,0,0
10333,4,4,4,4,4,4,4,4,4,4
10334,0,0,0,0,0,0,0,0,0,0
10335,0,0,0,0,0,0,0,0,0,0
10336,0,0,15,0,0,0,0,0,0,0
10337,21,0,8,24,0,0,0,11,0,0
10338,0,0,0,0,0,0,0,0,0,0
10339,0,0,0,0,0,0,0,0,0,0
10340,4,4,4,4,4,4,4,4,4,4
10341,19,36,0,6,13,0,28,10,16,6
10342,17,20,27,0,0,10,7,0,0,25
10343,22,0,20,0,0,0,8,32,0,15
10344,0,0,0,0,0,0,7,0,0,0
10345,2,2,2,2,2,2,2,2,2,2
10346,0,0,0,0,0,0,0,2,0,0
10347,0,0,0,0,0,0,0,0,0,0
10348,0,14,15,5,0,2,0,17,0,0
10349,0,0,0,0,0,0,0,0,0,0
10350,30,4,14,2,24,19,4,17,34,4
10351,0,20,0,0,0,0,0,0,0,0
10352,20,20,20,20,20,20,20,20,20,20
10353,0,0,0,0,0,0,0,0,0,0
10354,5,5,5,5,5,5,5,5,5,5
10355,10,44,0,27,9,13,18,23,0,13
10356,24,24,24,24,24,24,24,24,24,24
10357,30,23,18,18,30,22,22,9,11,8
10358,3,3,3,3,3,3,3,3,3,3
10359,3,3,3,3,3,3,3,3,3,3
10360,24,24,24,24,24,24,24,24,24,24
10361,10,10,10,10,10,10,10,10,10,10
10362,42,42,42,42,42,42,42,42,42,42
10363,0,0,0,0,0,0,0,0,0,0
10364,0,0,0,0,0,0,0,0,29,0
10365,10,10,10,10,10,10,10,10,10,10
10366,17,17,17,17,17,17,17,17,17,17
10367,8,0,0,20,0,11,0,0,11,8
10368,9,0,0,0,9,3,17,11,0,0
10369,0,0,0,0,0,0,0,0,0,0
10370,16,28,22,39,11,24,20,7,16,9
10371,10,0,0,0,18,0,0,0,5,25
10372,7,14,19,19,17,9,29,21,0,6
10373,0,0,0,0,0,0,0,0,0,0
10374,0,0,0,0,14,0,23,9,35,30
10376,0,0,0,0,0,0,0,0,0,0
10377,10,19,0,0,0,0,13,0,0,17
10378,0,0,0,0,8,0,0,13,0,10
10379,25,25,25,25,25,25,25,25,25,25
10380,0,0,0,0,0,0,0,0,0,0
10381,0,0,0,0,0,0,0,0,0,0
10382,25,25,25,25,25,25,25,25,25,25
10383,7,7,7,7,7,7,7,7,7,7
10384,0,0,0,0,0,0,0,0,0,0
10385,16,16,16,16,16,16,16,16,16,16
10386,0,0,0,0,0,0,0,0,0,0
10387,0,0,0,0,0,0,0,0,0,0
10388,0,0,0,0,0,0,0,0,0,0
10389,0,0,0,0,0,0,0,0,0,0
10390,0,7,0,0,0,0,15,0,0,0
10391,0,0,0,0,0,0,0,0,0,0
10392,18,17,39,17,17,17,17,17,17,17
10393,8,0,0,3,3,0,0,0,13,0
10394,4,4,4,4,4,4,4,4,4,4
10395,0,0,0,0,0,0,0,15,0,0
10396,0,0,24,0,0,0,0,0,0,0
10397,15,15,15,15,15,15,15,15,15,15
10398,0,0,0,0,0,0,0,0,0,0
10399,13,13,13,13,13,13,13,13,13,13
10400,0,0,12,0,19,4,11,22,0,10
10401,0,0,0,0,0,0,0,0,0,0
10402,25,30,22,14,30,11,22,24,33,28
10403,0,0,0,0,0,0,0,9,0,0
10404,0,0,0,0,0,0,0,0,0,0
10405,36,36,36,36,36,36,36,36,36,36
10406,0,0,0,0,0,0,0,0,0,0
10407,0,0,0,0,0,0,0,0,0,0
10408,0,0,0,0,0,0,0,0,0,0
10409,0,0,0,0,0,0,0,0,0,0
10410,0,0,26,19,16,0,0,0,0,0
10411,24,24,24,24,24,24,24,24,24,24
10412,0,0,0,0,0,0,0,0,0,0
10413,23,0,0,9,0,0,0,0,0,11
10414,0,0,0,0,0,0,0,0,0,0
10415,21,21,21,21,21,21,21,21,21,21
10416,0,0,0,0,0,0,0,0,0,0
10417,23,0,14,0,0,0,0,14,0,0
10418,23,23,23,23,23,23,23,23,23,23
10419,0,0,0,0,0,0,0,0,0,0
10420,0,0,0,0,0,0,0,0,0,0
10421,0,0,0,0,0,0,0,0,0,0
10422,0,0,10,0,14,0,0,17,0,0
10423,7,7,7,7,7,7,7,7,7,7
10424,24,24,24,24,24,24,24,24,24,24
10425,0,12,10,0,0,4,0,0,10,0
10426,0,0,0,0,0,0,0,0,0,0
10427,11,0,0,0,0,0,0,0,18,0
10428,22,22,22,22,22,22,22,22,22,22
10429,0,0,0,8,7,0,8,7,0,0
10430,0,0,0,0,0,0,0,0,0,0
10431,0,0,0,0,0,0,0,0,0,0
10432,6,13,0,5,0,7,0,0,6,0
10433,0,0,0,0,0,0,0,0,0,0
10434,0,0,0,0,0,0,0,0,0,0
10435,18,0,0,0,0,32,20,22,0,0
10436,0,0,0,0,0,0,0,0,0,0
10437,22,22,22,22,22,22,22,22,22,22
10438,28,0,0,13,0,0,0,15,8,0
10439,0,0,0,0,0,0,0,0,0,0
10440,0,0,0,0,0,0,0,0,0,0
10441,13,0,0,5,0,0,0,0,0,17
10442,0,0,0,0,0,0,0,0,0,0
10443,0,0,0,0,0,0,0,0,0,0
10444,0,0,0,0,0,0,0,0,0,0
10445,11,15,15,11,10,30,7,20,25,15
10446,18,18,18,18,18,18,18,18,18,18
10447,0,0,0,0,0,56,0,0,22,0
10448,0,0,0,0,0,0,0,0,0,0
10449,0,0,0,18,10,0,15,0,0,11
10450,18,18,18,18,18,18,18,18,18,18
10451,0,0,0,0,0,0,0,0,0,0
10452,0,0,0,0,0,0,0,0,0,0
10453,0,0,0,0,0,0,0,22,0,0
10454,11,19,0,26,11,25,0,23,0,14
10455,16,16,16,29,16,16,16,16,16,16
10456,0,0,0,0,0,0,0,0,0,0
10457,4,4,4,4,4,4,4,4,4,4
10458,16,20,24,7,27,15,11,12,18,11
10459,0,0,0,0,0,0,0,0,0,0
10460,0,0,0,0,0,0,0,0,0,0
10461,14,14,14,14,14,14,14,14,14,14
10462,36,6,13,21,10,16,25,12,23,0
10463,20,20,20,20,20,20,20,20,20,20
10464,9,0,6,0,8,0,0,17,0,0
10465,16,16,16,16,16,16,16,16,16,16
10466,0,0,0,0,0,0,0,5,0,0
10467,0,0,0,0,0,0,0,0,0,0
10468,0,0,0,0,0,0,0,0,0,0
10469,9,24,18,20,3,15,5,2,10,17
10470,18,11,19,16,18,15,17,29,18,21
10471,0,0,0,0,0,0,0,0,0,0
10472,0,0,11,5,6,0,13,14,0,0
10473,6,6,6,6,6,6,6,6,6,6
10474,0,0,0,0,0,0,0,0,0,0
10475,0,0,0,0,0,0,0,0,0,0
10476,0,0,0,0,0,0,0,0,0,0
10477,0,0,0,0,0,0,0,0,0,0
10478,16,16,16,16,16,16,16,16,16,16
10479,14,14,14,14,14,14,14,14,14,14
10480,19,19,19,19,19,19,19,19,19,19
10481,0,0,0,0,0,0,0,0,0,0
10482,10,10,10,10,10,10,10,10,10,10
10483,0,0,0,0,0,0,0,0,0,0
10484,0,0,0,0,0,0,0,0,0,0
10485,0,13,0,0,26,27,0,0,0,14
