STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
1,10006,0,1,3
1,10009,0,1,99
1,10010,0,1,3
1,10012,0,1,99
1,10022,0,1,3
1,10033,0,1,8
1,10039,0,1,5
1,10053,0,1,5
1,10055,0,1,6
1,10059,0,1,5
1,10067,0,1,3
1,10067,0,1,12
1,10069,0,1,8
1,10081,0,1,3
1,10084,0,1,9
1,10084,0,1,12
1,10084,0,2,9
1,10084,0,2,12
1,10084,0,3,9
1,10084,0,3,12
1,10104,0,1,3
1,10117,0,1,9
1,10150,0,1,3
1,10153,0,1,5
1,10157,0,1,3
1,10159,0,1,5
1,10174,0,1,5
1,10180,0,1,5
1,10180,0,2,5
1,10180,0,3,5
1,10180,0,4,5
1,10189,0,1,3
1,10203,0,1,6
1,10205,0,1,3
1,10206,0,1,5
1,10206,0,2,5
1,10219,0,1,3
1,10236,0,1,3
1,10244,0,1,3
1,10247,0,1,3
1,10247,0,1,12
1,10260,0,1,4
1,10260,0,1,5
1,10264,0,1,8
1,10275,0,1,6
1,10282,0,1,8
1,10324,0,1,9
1,10324,0,2,9
1,10328,0,1,5
1,10341,0,1,3
1,10342,0,1,3
1,10355,0,1,5
1,10382,0,1,16
1,10383,0,1,3
1,10392,0,1,6
1,10402,0,1,5
1,10410,0,1,8
1,10417,0,1,5
1,10438,0,1,3
1,10441,0,1,8
1,10454,0,1,3
1,10461,0,1,3
1,10481,0,1,3
1,10491,0,1,8
1,10491,0,1,12
1,10491,0,2,8
1,10491,0,2,12
1,10494,0,1,9
1,10494,0,2,9
1,10507,0,1,12
1,10518,0,1,8
1,10519,0,1,9
1,10528,0,1,3
1,10531,0,1,3
1,10535,0,1,8
1,10541,0,1,3
1,10552,0,1,5
1,10557,0,1,8
1,10557,0,1,12
1,10560,0,1,8
1,10591,0,1,4
1,10591,0,1,5
1,10604,0,1,14
1,10610,0,1,5
1,10623,0,1,8
1,10623,0,2,8
1,10625,0,1,3
1,10626,0,1,3
1,10638,0,1,5
1,10656,0,1,3
1,10669,0,1,2
1,10677,0,1,3
1,10677,0,2,3
1,10696,0,1,99
1,10701,0,1,8
1,10721,0,1,5
1,10728,0,1,3
1,10730,0,1,3
1,10745,0,1,3
1,10752,0,1,12
1,10754,0,1,3
1,10776,0,1,5
1,10787,0,1,3
1,10787,0,2,3
1,10791,0,1,8
1,10804,0,1,5
2,20004,0,1,8
2,20015,0,1,8
2,20039,0,1,7
2,20041,0,1,12
2,20047,0,1,3
2,20048,0,1,5
2,20049,0,1,3
2,20051,0,1,5
2,20053,0,1,3
2,20054,0,1,3
4,40003,0,1,11
4,40006,0,1,3
4,40008,0,1,3
4,40008,0,1,4
4,40014,0,1,8
4,40018,0,1,3
4,40019,0,1,3
4,40019,0,2,3
4,40025,0,1,3
4,40025,0,1,4
4,40025,0,1,12
4,40032,0,1,3
4,40038,0,1,8
4,40041,0,1,3
4,40048,0,1,99
4,40049,0,1,8
4,40050,0,1,3
4,40053,0,1,3
4,40058,0,1,3
4,40059,0,1,3
4,40061,0,1,8
4,40063,0,1,3
4,40064,0,1,3
4,40067,0,1,3
4,40070,0,1,3
4,40070,0,2,3
4,40077,0,1,3
4,40084,0,1,3
4,40104,0,1,3
4,40105,0,1,99
4,40107,0,1,3
4,40109,0,1,3
4,40116,0,1,8
4,40117,0,1,5
4,40118,0,1,6
4,40118,0,1,8
4,40119,0,1,6
4,40122,0,1,3
4,40124,0,1,3
4,40124,0,2,3
4,40127,0,1,8
4,40130,0,1,2
4,40132,0,1,5
4,40153,0,1,11
4,40154,0,1,7
4,40157,0,1,3
4,40164,0,1,8
4,40164,0,1,12
4,40168,0,1,7
4,40168,0,2,7
4,40168,0,3,7
4,40168,0,4,7
4,40172,0,1,3
4,40173,0,1,99
4,40174,0,1,5
4,40179,0,1,7
4,40180,0,1,99
4,40181,0,1,8
4,40190,0,1,99
4,40194,0,1,3
4,40197,0,1,8
4,40198,0,1,3
4,40198,0,1,4
4,40211,0,1,3
4,40214,0,1,3
4,40219,0,1,3
4,40226,0,1,3
4,40228,0,1,5
4,40234,0,1,3
4,40246,0,1,3
4,40246,0,1,4
4,40249,0,1,3
4,40249,0,2,3
4,40251,0,1,8
4,40251,0,1,12
4,40251,0,2,8
4,40251,0,2,12
4,40252,0,1,5
4,40257,0,1,3
4,40264,0,1,14
4,40275,0,1,3
4,40279,0,1,3
4,40311,0,1,3
4,40326,0,1,11
4,40328,0,1,3
4,40332,0,1,9
4,40335,0,1,3
4,40347,0,1,8
4,40349,0,1,3
4,40352,0,1,6
4,40361,0,1,3
4,40362,0,1,99
4,40364,0,1,3
4,40367,0,1,3
4,40390,0,1,99
4,40391,0,1,99
4,40394,0,1,99
4,40395,0,1,3
4,40404,0,1,3
4,40404,0,1,4
4,40407,0,1,3
4,40420,0,1,99
4,40427,0,1,3
4,40433,0,1,3
4,40443,0,1,8
4,40443,0,1,12
4,40450,0,1,3
4,40450,0,2,3
4,40453,0,1,3
4,40455,0,1,99
4,40459,0,1,3
4,40473,0,1,3
4,40476,0,1,99
4,40484,0,1,3
4,40487,0,1,3
4,40490,0,1,3
4,40501,0,1,5
4,40520,0,1,5
4,40520,0,1,9
4,40524,0,1,8
4,40544,0,1,3
4,40544,0,1,4
4,40546,0,1,3
4,40546,0,1,4
4,40552,0,1,5
4,40558,0,1,3
4,40560,0,1,3
4,40580,0,1,5
4,40581,0,1,3
4,40584,0,1,3
4,40589,0,1,99
4,40591,0,1,3
4,40593,0,1,8
4,40597,0,1,5
4,40602,0,1,3
4,40603,0,1,3
4,40611,0,1,3
4,40614,0,1,6
4,40620,0,1,5
4,40622,0,1,3
4,40628,0,1,3
4,40634,0,1,3
4,40635,0,1,3
4,40637,0,1,3
4,40637,0,1,4
4,40642,0,1,98
4,40643,0,1,99
4,40645,0,1,3
4,40647,0,1,3
4,40651,0,1,3
4,40653,0,1,3
4,40653,0,1,4
4,40669,0,1,3
4,40670,0,1,8
4,40678,0,1,3
4,40684,0,1,5
4,40690,0,1,3
4,40692,0,1,5
4,40693,0,1,3
4,40697,0,1,3
4,40698,0,1,3
4,40702,0,1,3
4,40703,0,1,3
4,40714,0,1,5
4,40714,0,1,12
4,40718,0,1,3
4,40718,0,1,4
4,40718,0,2,3
4,40718,0,2,4
4,40724,0,1,3
4,40725,0,1,3
4,40732,0,1,3
4,40737,0,1,3
4,40739,0,1,11
4,40739,0,1,12
4,40741,0,1,3
4,40748,0,1,3
4,40751,0,1,12
4,40751,0,1,16
4,40751,0,2,12
4,40751,0,2,16
4,40754,0,1,99
5,50002,0,1,8
5,50026,0,1,6
5,50026,0,1,12
5,50028,0,1,3
5,50030,0,1,3
5,50045,0,1,3
5,50051,0,1,3
5,50056,0,1,3
5,50056,0,1,8
5,50057,0,1,3
5,50057,0,1,8
5,50061,0,1,5
5,50073,0,1,5
5,50078,0,1,6
5,50088,0,1,14
5,50097,0,1,14
5,50097,0,2,14
5,50098,0,1,3
5,50100,0,1,14
5,50116,0,1,14
5,50117,0,1,5
5,50150,0,1,16
5,50154,0,1,3
5,50156,0,1,8
5,50158,0,1,8
5,50158,0,1,14
5,50174,0,1,14
5,50188,0,1,14
5,50206,0,1,3
5,50249,0,1,3
5,50259,0,1,5
5,50306,0,1,8
5,50310,0,1,14
5,50323,0,1,9
5,50338,0,1,14
5,50339,0,1,3
5,50340,0,1,3
5,50362,0,1,14
5,50367,0,1,3
5,50367,0,1,4
5,50367,0,1,8
5,50372,0,1,5
5,50375,0,1,6
5,50375,0,2,6
5,50415,0,1,5
5,50426,0,1,8
5,50438,0,1,3
5,50447,0,1,3
5,50452,0,1,9
5,50457,0,1,3
5,50458,0,1,8
5,50462,0,1,14
5,50469,0,1,3
5,50474,0,1,3
5,50476,0,1,14
5,50485,0,1,99
5,50487,0,1,3
5,50492,0,1,3
5,50492,0,2,3
5,50494,0,1,14
5,50495,0,1,3
5,50502,0,1,3
5,50509,0,1,16
5,50509,0,2,16
6,60010,0,1,3
6,60011,0,1,3
6,60012,0,1,3
6,60014,0,1,3
6,60015,0,1,8
6,60016,0,1,8
6,60025,0,1,3
6,60029,0,1,3
6,60030,0,1,3
6,60038,0,1,3
6,60044,0,1,3
6,60045,0,1,3
6,60046,0,1,3
6,60047,0,1,3
6,60054,0,1,3
6,60057,0,1,3
6,60069,0,1,3
6,60073,0,1,5
6,60080,0,1,3
6,60085,0,1,3
6,60086,0,1,3
6,60089,0,1,3
6,60090,0,1,3
6,60092,0,1,3
6,60094,0,1,5
6,60097,0,1,3
