STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PCARBUR,PCYLINDER,PDISPLACE,PMCYCL_CY,PMCYCL_WT,PTIRE_SZE,PTON_RAT,PTRK_WT,PTRKWTVAR,PVIN_REST,PWHLDRWHL,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
1,10002,2,1,0,1,1,13,15,14,0,2,0,1,6,35,481,35481,31,2008,1N6BA07D68N3,1,N,6,B,A,0,7,D,6,8,N,3,T,NISS,TXS,CW,8,17,,2,0,1398,TTN,F,,,8,342,,,,B,4908,00,4,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,1,12,0,0,0,0
1,10126,3,2,0,24,3,9,3,12,2,3,0,1,6,20,16,20016,4,1992,1G1JC544XN71,1,G,1,J,C,5,4,4,X,N,7,1,P,CHEV,CRV,4D,92,17,2509,,0,1013,,G,,F,4,133,,,14R185,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,1,12,0,0,0,0
1,10176,2,1,0,27,3,19,53,14,0,2,0,1,6,49,32,49032,4,1996,1NXBA02E2TZ3,1,N,X,B,A,0,2,E,2,T,Z,3,P,TOYT,COA,4D,96,17,2315,,0,970,,G,,F,4,097,,,14R175,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,12,0,0,0,0
1,10257,2,1,0,7,5,6,50,34,0,3,0,91,6,20,443,20443,20,2004,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,8,8,12,0,0,0,0
1,10348,2,1,0,10,6,21,18,33,0,2,0,1,6,20,443,20443,20,2003,1GNDX03E03D2,1,G,N,D,X,0,3,E,0,3,D,2,T,CHEV,VTR,ES,3,17,,1,0,1200,VTR,G,,,6,207,,,,,3699,01,,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,4,1,12,0,0,0,0
1,10444,2,1,1,27,7,13,5,14,0,2,0,40,6,87,881,87881,66,2010,1XP7D49X9AD1,1,X,P,7,D,4,9,X,9,A,D,1,T,PTRB,387,TR,10,17,,8,0,0,CON,D,,,6,915,,,,,00000,00,,64,1,57,303024,57303024,3,6,1,1,0,0,0,0,0,0,0,0,6,2,3,12,0,0,0,0
1,10473,2,1,0,14,8,18,10,33,0,3,0,1,6,23,481,23481,31,2003,1GKES16S7361,1,G,K,E,S,1,6,S,7,3,6,1,T,GMC,EXL,4W,3,17,,2,0,1290,ENV,G,,,6,256,,,,B,4417,00,E,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,8,8,12,0,0,0,0
1,10473,3,1,0,14,8,18,10,33,0,3,0,1,6,2,405,2405,14,2005,1J4GK38K35W5,1,J,4,G,K,3,8,K,3,5,W,5,T,JEEP,RNG,4W,5,17,,1,0,1043,LIB,G,,,6,226,,,,,3769,00,E,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,8,8,12,0,0,0,0
1,10594,2,1,0,30,9,1,0,1,0,3,0,99,6,20,481,20481,31,2002,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,8,8,12,0,0,0,0
1,10601,2,1,0,7,10,1,27,14,0,3,0,91,6,99,399,99399,9,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,9,9,12,0,0,0,0
