ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,0,0,0,0,0,0,0,0,0
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,0,0,0,0,11,0,0,0,0,0
10006,0,0,0,0,0,0,0,0,0,0
10007,19,15,0,31,7,0,19,23,0,0
10008,0,0,0,0,0,0,0,0,0,0
10009,8,9,20,25,6,11,4,21,11,15
10010,20,0,0,0,0,0,0,0,0,0
10011,11,11,11,11,11,11,11,11,11,11
10012,0,0,0,0,0,0,0,0,0,0
10013,0,0,0,0,0,0,0,0,0,0
10014,0,0,0,0,0,0,0,0,0,0
10015,21,21,21,21,21,21,21,21,21,21
10016,0,0,0,0,0,0,0,0,0,0
10017,0,0,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0,0,0,0
10019,20,0,0,0,0,0,3,0,0,0
10020,16,16,16,16,16,16,16,16,16,16
10021,24,24,24,24,24,24,24,24,24,24
10022,0,6,0,0,0,0,0,0,0,0
10023,0,0,0,0,0,0,0,0,0,0
10024,0,0,0,0,0,0,0,0,0,0
10025,0,0,2,0,13,0,0,14,11,5
10026,0,0,0,0,0,0,0,0,0,0
10027,14,14,14,14,14,14,14,14,14,14
10028,0,0,0,0,0,0,0,0,0,0
10029,29,0,42,0,5,0,20,0,10,0
10030,0,0,0,0,0,0,0,0,0,0
10031,3,3,3,3,3,3,3,3,3,3
10032,10,10,10,10,10,10,10,10,10,10
10033,5,19,22,10,22,22,26,18,0,16
10034,0,0,0,0,0,0,0,0,0,0
10035,23,23,23,23,23,23,23,23,23,23
10036,0,0,0,0,0,0,0,0,0,0
10037,0,0,0,0,0,0,0,0,0,0
10038,0,0,0,0,0,0,0,0,0,0
10039,19,19,19,19,19,19,19,19,19,19
10040,19,19,19,19,19,19,19,19,19,19
10041,10,10,10,10,10,10,10,10,10,10
10042,0,0,0,0,0,0,0,0,0,0
10043,0,0,0,0,0,0,0,0,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,0,35,0,0,0,0,5,0,0,0
10046,0,0,0,0,0,0,0,0,0,0
10047,0,0,0,0,0,0,0,0,0,0
10048,0,0,0,0,0,0,0,0,0,0
10049,37,37,37,37,37,37,37,37,37,37
10050,0,0,0,0,0,0,0,0,0,0
10051,0,0,5,0,0,0,11,15,0,14
10052,2,2,2,2,11,2,2,2,2,2
10053,15,15,15,15,15,15,15,15,15,15
10054,0,0,0,0,0,0,0,0,0,0
10055,0,0,0,0,0,0,0,0,0,0
10056,0,0,0,0,0,0,0,0,0,0
10057,22,16,15,12,0,14,8,8,19,8
10058,0,0,0,0,0,0,0,31,0,0
10059,21,21,21,21,21,21,21,21,21,21
10060,0,0,0,0,0,0,0,0,0,0
10061,16,16,16,16,16,16,16,16,16,16
10062,0,0,0,26,14,0,0,14,19,25
10063,0,0,0,0,0,0,0,0,0,0
10064,0,0,0,0,0,0,0,0,0,0
10065,0,0,0,0,0,0,0,0,0,0
10066,22,9,0,30,22,0,0,0,0,20
10067,24,24,24,24,24,24,24,24,24,24
10068,0,0,0,0,0,0,0,0,0,0
10069,29,29,29,29,29,29,29,29,29,29
10070,26,26,26,26,26,26,26,26,26,26
10071,0,0,0,0,0,0,0,0,0,0
10072,0,6,0,0,0,0,0,0,0,0
10073,18,18,18,18,18,18,18,18,18,18
10074,0,0,8,33,12,0,0,0,0,0
10075,0,0,0,0,0,0,0,0,0,0
10076,0,17,15,12,35,20,0,19,22,0
10077,0,0,0,0,0,0,0,0,0,0
10078,0,0,0,0,0,0,0,0,0,0
10079,33,33,33,33,33,33,33,33,33,33
10080,21,24,20,14,14,16,26,24,8,0
10081,15,0,0,20,0,0,32,0,0,0
10082,0,0,0,0,0,4,7,0,0,0
10083,24,24,24,24,24,24,24,24,24,24
10084,10,10,10,10,10,10,10,10,10,10
10085,0,0,0,0,0,0,0,0,0,0
10086,0,0,0,0,0,0,0,0,0,0
10087,0,0,0,0,0,0,0,0,0,0
10088,7,7,7,7,7,7,7,7,7,7
10089,24,24,24,24,24,24,24,24,24,24
10090,0,0,0,0,19,0,0,0,0,0
10091,0,0,0,0,0,0,0,0,0,0
10092,0,0,0,0,0,0,0,28,0,0
10093,0,0,0,0,0,0,0,0,0,0
10094,21,21,21,21,21,21,21,21,21,21
10095,17,17,17,17,17,17,17,17,17,17
10096,26,26,26,26,26,26,26,26,26,26
10097,0,0,0,0,0,0,0,0,0,0
10098,22,22,22,22,22,22,22,22,22,22
10099,2,2,2,2,2,2,2,2,2,2
10100,0,0,0,0,0,0,0,0,0,0
10101,0,0,0,0,0,0,0,0,0,0
10102,40,40,40,40,40,40,40,40,40,40
10103,0,21,0,0,0,0,0,0,0,0
10104,0,14,0,0,0,0,0,0,0,10
10105,5,5,5,5,5,5,5,5,5,5
10106,33,33,33,33,33,33,33,33,33,33
10107,0,0,0,0,0,0,3,0,0,0
10108,14,14,14,14,14,14,14,14,14,14
10109,0,0,0,0,0,0,0,0,0,0
10110,12,15,16,23,0,16,22,13,26,22
10111,0,8,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0,0,0
10113,0,0,0,0,0,0,0,0,0,0
10114,20,20,20,20,20,20,20,20,20,20
10115,0,0,0,0,0,0,0,0,0,0
10116,0,0,0,0,0,0,0,0,0,0
10117,0,0,0,0,0,0,0,0,0,0
10118,0,0,0,0,0,0,0,0,0,0
10119,9,9,9,9,9,9,9,9,9,9
10120,0,0,0,0,0,0,0,0,0,0
10121,0,0,0,0,0,0,0,0,0,0
10122,7,7,7,7,7,7,7,7,7,7
10123,0,0,0,0,0,0,0,0,0,0
10124,9,10,0,22,22,0,38,16,11,36
10125,6,6,6,6,6,6,6,6,6,6
10126,14,14,14,14,14,14,14,14,14,14
10127,11,11,11,11,11,11,11,11,11,11
