STATE,ST_CASE,VEH_NO,PER_NO,NMIMPAIR
1,10012,0,1,99
1,10029,0,1,0
1,10038,0,1,0
1,10047,0,1,8
1,10054,0,1,9
1,10055,0,1,99
1,10060,0,1,9
1,10071,0,1,0
1,10071,0,2,0
1,10113,0,1,99
1,10122,0,1,9
1,10128,0,1,99
1,10135,0,1,99
1,10145,0,1,99
1,10156,0,1,0
1,10156,0,2,99
1,10187,0,1,99
1,10203,0,1,0
1,10205,0,1,99
1,10213,0,1,0
1,10217,0,1,0
1,10220,0,1,0
1,10222,0,1,0
1,10234,0,1,99
1,10244,0,1,99
1,10244,0,2,99
1,10244,0,3,99
1,10245,0,1,99
1,10258,0,1,98
1,10267,0,1,0
1,10275,0,1,99
1,10288,0,1,99
1,10292,0,1,99
1,10341,0,1,99
1,10364,0,1,0
1,10365,0,1,99
1,10373,0,1,99
1,10396,0,1,0
1,10427,0,1,0
1,10435,0,1,99
1,10465,0,1,9
1,10493,0,1,99
1,10503,0,1,9
1,10519,0,1,99
1,10529,0,1,99
1,10540,0,1,0
1,10543,0,1,99
1,10544,0,1,0
1,10554,0,1,99
1,10557,0,1,99
1,10569,0,1,9
1,10601,0,1,0
1,10601,0,2,0
1,10604,0,1,0
1,10608,0,1,99
1,10621,0,1,0
1,10622,0,1,99
1,10624,0,1,0
1,10648,0,1,9
1,10658,0,1,99
1,10665,0,1,99
1,10687,0,1,99
1,10692,0,1,0
1,10692,0,2,0
1,10705,0,1,9
1,10716,0,1,99
1,10716,0,2,99
1,10719,0,1,0
1,10729,0,1,99
1,10730,0,1,9
1,10747,0,1,9
1,10756,0,1,98
1,10761,0,1,99
2,20001,0,1,99
2,20005,0,1,99
2,20015,0,1,0
2,20023,0,1,0
2,20023,0,2,0
2,20039,0,1,0
2,20042,0,1,99
4,40003,0,1,0
4,40004,0,1,0
4,40006,0,1,0
4,40012,0,1,0
4,40022,0,1,0
4,40025,0,1,0
4,40028,0,1,99
4,40036,0,1,9
4,40040,0,1,9
4,40044,0,1,0
