STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
1,10046,2,1,0,8,1,14,18,1,0,3,0,1,6,49,401,49401,14,1996,JT3GM84R7T00,J,T,3,G,M,8,4,R,7,T,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,6,2,12,0,0,1,0
1,10075,2,1,2,18,1,7,47,14,0,2,0,28,6,23,401,23401,14,2006,1GKDS13S8622,1,G,K,D,S,1,3,S,8,6,2,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,1
1,10106,2,1,0,19,2,22,0,53,0,3,0,1,6,12,401,12401,14,2002,1FMZU73KX2UD,1,F,M,Z,U,7,3,K,X,2,U,D,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,8,8,12,0,0,0,0
1,10120,2,1,0,7,3,7,51,5,0,3,0,1,6,12,471,12471,30,1994,1FTCR10A3RTA,1,F,T,C,R,1,0,A,3,R,T,A,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,5,12,0,0,0,0
1,10120,3,1,0,7,3,7,51,5,0,3,0,1,6,37,31,37031,4,1994,1HGEG8659RL0,1,H,G,E,G,8,6,5,9,R,L,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,5,12,0,0,0,0
1,10172,4,3,0,28,3,21,40,12,2,2,0,1,6,55,401,55401,14,2007,5NMSG13DX7H0,5,N,M,S,G,1,3,D,X,7,H,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,2,5,12,0,0,0,0
1,10262,2,1,0,13,5,14,7,5,0,3,0,91,6,49,32,49032,9,2006,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,8,8,12,0,0,0,0
1,10328,2,1,0,16,6,3,55,14,0,2,0,4,6,23,881,23881,62,2006,1GDG5C1G76F9,1,G,D,G,5,C,1,G,7,6,F,9,0,88,888888888,88888888888,2,1,1,1,0,0,0,0,0,0,0,0,6,4,3,12,0,0,0,0
1,10364,2,1,2,7,7,11,21,8,0,2,0,12,6,7,26,7026,4,2012,1C3CDZAB2CN1,1,C,3,C,D,Z,A,B,2,C,N,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10417,2,1,0,28,7,6,55,14,0,2,0,13,6,87,881,87881,66,1996,1XP5DB8X7TD3,1,X,P,5,D,B,8,X,7,T,D,3,1,57,559370,57559370,3,6,1,1,0,0,0,0,0,0,0,0,6,8,8,12,0,0,0,0
1,10431,1,1,1,29,7,10,18,45,0,4,0,1,3,98,998,98998,93,9999,B9D2793,B,9,D,2,7,9,3,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,12,0,0,0,0
1,10460,2,1,0,23,8,0,30,1,0,3,0,1,6,49,32,49032,4,1995,1NXAE04B6SZ2,1,N,X,A,E,0,4,B,6,S,Z,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,1,4,5,12,0,0,0,0
1,10460,3,1,0,23,8,0,30,1,0,3,0,1,6,12,35,12035,4,1998,1FAFP6632WK2,1,F,A,F,P,6,6,3,2,W,K,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,1,4,5,12,0,0,0,0
1,10574,2,1,0,18,10,23,45,14,0,3,0,98,6,98,998,98998,93,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,99,999999999,99999999999,0,0,0,1,0,0,0,0,0,0,0,0,98,6,8,12,0,0,0,0
1,10596,2,1,0,27,10,0,19,14,0,2,0,1,6,59,33,59033,2,1995,JT8JZ31C9S00,J,T,8,J,Z,3,1,C,9,S,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10601,2,1,0,18,10,23,27,14,0,2,0,12,6,37,31,37031,2,2001,1HGEM21571L0,1,H,G,E,M,2,1,5,7,1,L,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10603,2,1,2,27,10,4,38,14,0,2,0,40,6,82,881,82881,66,2010,1FUJA6DR1ADA,1,F,U,J,A,6,D,R,1,A,D,A,1,57,53773,5753773,3,6,1,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10620,2,1,0,3,11,1,10,30,0,3,0,91,6,38,401,38401,14,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,8,8,12,0,0,0,0
1,10624,2,1,0,6,11,19,32,8,0,2,0,92,6,20,421,20421,15,1999,1GNEC13R5XJ4,1,G,N,E,C,1,3,R,5,X,J,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,9,2,3,12,0,0,0,0
1,10656,2,1,0,30,11,8,30,59,0,2,0,1,6,35,50,35050,5,2009,3N1BC13E69L4,3,N,1,B,C,1,3,E,6,9,L,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,4,5,12,0,0,0,0
1,10656,3,1,0,30,11,8,30,59,0,2,0,1,6,22,18,22018,4,2001,1G2NF52EX1C2,1,G,2,N,F,5,2,E,X,1,C,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,5,12,0,0,0,0
1,10672,2,1,0,30,11,18,10,32,0,3,0,1,6,84,881,84881,66,2006,2HSCNAPR96C2,2,H,S,C,N,A,P,R,9,6,C,2,1,57,759891,57759891,3,6,3,1,0,0,0,0,0,0,0,0,8,4,5,12,0,0,0,0
