STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10001,1,1,1,1,55,61,5555,55
1,10001,2,1,2,1,55,64,5555,55
1,10001,3,1,3,1,3,42,9999,77
1,10001,4,1,4,1,98,42,9999,77
1,10002,1,1,1,1,12,12,2,10
1,10002,1,2,1,1,12,12,2,10
1,10003,1,1,1,1,55,63,5555,55
1,10003,2,1,2,1,12,30,9999,77
1,10003,3,1,3,1,55,69,5555,55
1,10003,4,1,4,1,55,68,5555,55
1,10003,5,1,5,1,55,64,5555,55
1,10003,6,1,6,1,12,40,9999,77
1,10004,1,1,1,1,55,68,5555,55
1,10004,2,1,2,1,55,64,5555,55
1,10004,3,1,3,1,2,24,9999,77
1,10004,4,1,4,1,98,30,9999,77
1,10005,1,1,1,1,12,12,2,6
1,10005,1,2,1,1,12,12,2,6
1,10006,1,1,1,1,12,12,2,8
1,10006,1,2,1,1,12,12,2,8
1,10007,1,1,1,1,55,68,5555,55
1,10007,2,1,2,1,55,64,5555,55
1,10007,3,1,3,1,12,34,9999,77
1,10007,4,1,4,1,0,1,9999,77
1,10007,5,1,5,1,13,30,9999,77
1,10008,1,1,1,1,55,68,5555,55
1,10008,2,1,2,1,12,12,2,12
1,10008,2,2,1,1,12,12,2,12
1,10009,1,1,1,1,55,68,5555,55
1,10009,2,1,2,1,55,64,5555,55
1,10009,3,1,3,1,3,42,9999,77
1,10010,1,1,1,2,12,12,1,10
1,10010,2,1,2,1,0,1,9999,77
1,10010,1,2,1,2,12,12,1,10
1,10011,1,1,1,1,55,68,5555,55
1,10011,2,1,2,1,12,12,2,12
1,10011,2,2,1,1,12,12,2,12
1,10012,1,1,1,1,12,8,9999,77
1,10013,1,1,1,1,55,64,5555,55
1,10013,2,1,2,1,12,52,9999,77
1,10013,3,1,3,1,0,1,9999,77
1,10013,4,1,4,1,13,21,9999,77
1,10014,1,1,1,1,55,68,5555,55
1,10014,2,1,2,1,55,64,5555,55
1,10014,3,1,3,1,12,30,9999,77
1,10014,4,1,4,1,12,38,9999,77
1,10015,1,1,1,1,55,68,5555,55
1,10015,2,1,2,1,55,64,5555,55
1,10015,3,1,3,1,9,30,9999,77
1,10015,4,1,4,1,0,1,9999,77
1,10016,1,1,1,1,55,68,5555,55
1,10016,2,1,2,1,55,64,5555,55
1,10016,3,1,3,1,55,62,5555,55
1,10016,4,1,4,1,55,69,5555,55
1,10016,5,1,5,1,0,1,9999,77
1,10016,7,1,6,2,98,12,1,19
1,10016,6,2,1,2,12,18,9999,77
1,10016,7,2,2,2,98,12,1,19
1,10017,1,1,1,1,55,61,5555,55
1,10017,2,1,2,1,55,68,5555,55
1,10017,3,1,3,1,12,12,2,12
1,10017,3,2,1,1,12,12,2,12
1,10017,4,2,2,2,55,63,5555,55
1,10017,5,2,3,2,0,1,9999,77
1,10018,1,1,1,2,12,12,1,3
1,10018,2,1,2,1,55,64,5555,55
1,10018,3,1,3,1,0,1,9999,77
1,10018,1,2,1,2,12,12,1,3
1,10019,1,1,1,1,55,63,5555,55
1,10019,2,1,2,1,98,33,9999,77
1,10019,3,1,3,1,9,30,9999,77
1,10020,1,1,1,1,55,68,5555,55
1,10020,2,1,2,1,55,64,5555,55
1,10020,3,1,3,1,1,42,9999,77
1,10021,1,1,1,1,55,68,5555,55
1,10021,2,1,2,1,55,64,5555,55
1,10021,3,1,3,1,12,43,9999,77
1,10021,4,1,4,1,12,30,9999,77
1,10022,1,1,1,1,55,63,5555,55
1,10022,2,1,2,1,12,34,9999,77
