STATE,ST_CASE,EVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10001,1,1,55,68,5555,55
1,10001,2,1,55,64,5555,55
1,10001,3,1,11,17,9999,77
1,10001,4,1,0,1,9999,77
1,10001,5,1,13,42,9999,77
1,10001,6,1,98,17,9999,77
1,10001,7,1,0,3,9999,77
1,10002,1,1,55,68,5555,55
1,10002,2,1,55,64,5555,55
1,10002,3,1,12,42,9999,77
1,10002,4,1,12,42,9999,77
1,10003,1,1,12,12,2,8
1,10003,2,2,55,63,5555,55
1,10003,3,2,98,30,9999,77
1,10004,1,1,12,12,2,12
1,10004,2,2,5,12,3,8
1,10005,1,1,55,68,5555,55
1,10005,2,1,55,64,5555,55
1,10005,3,1,12,35,9999,77
1,10005,4,1,0,1,9999,77
1,10005,5,1,12,42,9999,77
1,10006,1,1,55,63,5555,55
1,10006,2,1,12,32,9999,77
1,10006,3,1,55,67,5555,55
1,10006,4,1,12,42,9999,77
1,10007,1,2,9,12,1,9
1,10007,2,2,55,63,5555,55
1,10007,3,2,9,30,9999,77
1,10007,4,2,98,14,3,98
1,10008,1,2,12,12,1,6
1,10009,1,1,55,64,5555,55
1,10009,2,1,55,65,5555,55
1,10009,3,1,55,64,5555,55
1,10009,4,1,12,24,9999,77
1,10009,5,1,55,69,5555,55
1,10009,6,2,12,12,1,9
1,10009,7,1,4,12,3,1
1,10010,1,1,55,68,5555,55
1,10010,2,1,55,68,5555,55
1,10010,3,2,55,68,5555,55
1,10010,4,1,12,12,2,12
1,10011,1,1,55,63,5555,55
1,10011,2,1,12,34,9999,77
1,10011,3,1,12,42,9999,77
1,10011,4,1,0,1,9999,77
1,10012,1,1,55,63,5555,55
1,10012,2,1,12,14,2,9
1,10013,1,1,55,63,5555,55
1,10013,2,1,1,38,9999,77
1,10013,3,1,0,1,9999,77
1,10013,4,1,98,38,9999,77
1,10013,5,1,98,38,9999,77
1,10014,1,1,55,68,5555,55
1,10014,2,1,55,64,5555,55
1,10014,3,1,12,42,9999,77
1,10015,1,2,12,12,1,12
1,10015,2,2,19,8,9999,77
1,10016,1,1,55,63,5555,55
1,10016,2,1,12,35,9999,77
1,10016,3,1,0,1,9999,77
1,10016,4,1,13,43,9999,77
1,10016,5,1,12,43,9999,77
1,10017,1,1,55,63,5555,55
1,10017,2,1,55,69,5555,55
1,10017,3,1,55,68,5555,55
1,10017,4,2,12,12,1,9
1,10018,1,1,55,63,5555,55
1,10018,2,1,0,1,9999,77
1,10018,3,1,1,42,9999,77
1,10019,1,1,55,63,5555,55
1,10019,2,1,12,38,9999,77
1,10019,3,1,9,42,9999,77
1,10020,1,1,55,64,5555,55
1,10020,2,1,10,30,9999,77
1,10021,1,1,12,8,9999,77
1,10022,1,1,55,63,5555,55
1,10022,2,1,12,42,9999,77
1,10022,3,1,0,2,9999,77
1,10023,1,2,12,12,1,2
1,10024,1,1,55,68,5555,55
1,10024,2,1,12,12,2,12
1,10024,3,2,0,2,9999,77
1,10025,1,2,12,12,1,4
1,10025,2,3,12,12,2,6
1,10026,1,1,55,64,5555,55
1,10026,2,1,11,57,9999,77
1,10026,3,1,55,65,5555,55
1,10026,4,1,55,69,5555,55
1,10026,5,1,0,1,9999,77
1,10027,1,1,12,12,2,12
1,10028,1,1,55,68,5555,55
1,10028,2,1,55,64,5555,55
1,10028,3,1,1,35,9999,77
1,10029,1,1,12,12,2,9
1,10029,2,1,55,68,5555,55
1,10029,3,1,6,12,3,12
1,10030,1,1,55,63,5555,55
1,10030,2,1,0,1,9999,77
1,10031,1,2,12,12,1,9
1,10032,1,1,55,68,5555,55
1,10032,2,1,55,64,5555,55
1,10032,3,1,10,42,9999,77
1,10032,4,1,10,42,9999,77
1,10032,5,1,12,34,9999,77
1,10033,1,1,55,68,5555,55
1,10033,2,1,12,12,2,12
1,10034,1,1,55,63,5555,55
1,10034,2,1,55,69,5555,55
1,10034,3,1,55,68,5555,55
1,10034,4,1,55,64,5555,55
1,10034,5,1,12,35,9999,77
1,10034,6,1,0,1,9999,77
1,10035,1,2,12,12,1,10
1,10036,1,1,55,68,5555,55
