ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,18,18,18,18,18,18,18,18,18,18
10002,0,0,0,0,0,0,0,0,0,0
10003,18,18,18,18,18,18,18,18,18,18
10004,26,26,26,26,26,26,26,26,26,26
10005,0,0,0,0,0,0,0,0,0,0
10006,0,0,27,0,0,0,0,0,0,0
10007,21,20,0,24,0,23,0,27,19,0
10008,23,0,0,0,15,0,0,3,7,22
10009,0,0,0,0,0,0,19,17,0,0
10010,8,0,0,0,0,0,0,6,14,0
10011,0,0,0,0,0,0,0,0,0,0
10012,0,0,0,0,0,0,0,0,0,0
10013,23,23,23,23,23,23,23,23,23,23
10014,15,15,15,15,15,15,15,15,15,15
10015,0,0,0,0,0,0,0,0,0,0
10016,0,0,0,0,0,0,0,0,31,0
10017,0,0,0,0,0,0,0,0,0,0
10018,12,12,12,12,12,12,12,12,12,12
10019,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,4,0,0,0,0,0
10022,0,0,0,0,0,0,0,0,0,0
10023,16,17,16,16,27,22,13,8,23,0
10024,0,25,0,31,0,0,0,0,18,0
10025,21,21,21,21,21,21,21,21,21,21
10026,0,0,0,0,11,0,0,0,0,0
10027,0,0,0,0,0,0,0,0,0,0
10028,22,22,22,22,22,22,22,22,22,22
10029,0,0,0,0,0,0,0,0,0,0
10030,0,0,0,0,0,0,0,0,0,0
10031,0,22,0,0,0,0,0,0,0,0
10032,21,21,21,21,21,21,21,21,21,21
10033,10,10,10,10,10,10,10,10,10,10
10034,15,15,15,18,15,15,15,15,15,15
10035,0,0,0,0,0,0,0,0,0,0
10036,0,0,0,0,0,0,0,0,0,0
10037,0,0,0,0,0,0,0,0,0,0
10038,0,0,0,9,0,9,0,19,10,16
10039,15,15,15,15,15,15,15,15,15,15
10040,0,0,0,4,0,0,0,0,0,0
10041,12,12,12,12,12,12,12,12,12,12
10042,24,24,24,24,24,24,24,24,24,24
10043,0,0,0,0,0,0,0,0,0,0
10044,13,0,0,15,0,10,20,0,15,16
10045,0,0,0,0,0,0,0,0,0,0
10046,0,32,0,0,0,0,27,10,0,0
10047,27,27,27,27,27,27,27,27,27,27
10048,0,0,0,0,0,0,0,0,0,0
10049,18,0,15,6,17,0,20,11,22,0
10050,13,0,0,0,0,0,0,0,0,0
10051,0,0,0,0,0,0,0,0,0,0
10052,0,0,0,0,0,0,0,0,0,0
