ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410001,2,0,3,35,1,1,2011,11,2,2,43.00821944,-121.82608056,12,6,1,1,1,0,1,1,0,1,0,36,1,2,0,0,0,9,1,1,0,0,0,0,0,0.0,1,999,0,0,0,1,1,55,0,0,0,0,0,0,0,0,2,0,0,0,0,99,0
410002,1,0,1,19,1,2,2011,16,3,4,43.10678611,-123.42439167,32,0,3,3,4,0,2,1,0,1,0,78,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410003,1,2,1,39,1,2,2011,8,15,6,44.08044167,-123.06571111,8,0,3,3,4,0,1,1,0,1,0,62,2,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410004,1,1,1,51,1,3,2011,23,13,6,45.50408056,-122.53406389,8,0,1,1,1,0,3,10,0,1,0,999,1,0,0,1,0,9,0,0,0,0,0,0,1,0.0,99,999,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410005,2,0,1,51,1,6,2011,9,2,6,45.58268889,-122.66684167,12,2,1,1,1,0,1,10,0,1,0,40,1,0,0,0,0,9,1,0,0,0,1,0,0,0.0,1,40,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,99
410006,2,0,4,3,1,1,2011,19,2,2,44.60789167,-123.48084167,12,6,1,1,1,0,2,10,0,1,0,29,3,1,0,0,0,0,1,1,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
410007,1,0,1,29,1,2,2011,17,4,4,42.49040833,-123.16608333,42,0,1,1,4,0,1,1,0,1,0,80,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410008,2,0,2,9,1,6,2011,9,2,2,45.77165278,-122.87923333,12,1,3,3,11,0,1,10,0,1,0,43,2,0,0,0,0,9,1,0,0,0,1,0,0,0.0,0,999,0,1,0,4,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
410009,1,0,1,35,1,6,2011,18,3,3,42.13935833,-121.88702778,38,0,1,1,5,0,2,10,0,1,1,34,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410010,1,1,1,67,1,6,2011,18,13,3,45.51931389,-123.00364722,8,0,1,1,1,0,2,98,0,1,0,53,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0
410011,1,0,4,31,1,7,2011,2,4,4,44.57812778,-121.18758611,1,0,1,1,5,0,2,1,0,1,1,26,3,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,11
410012,1,0,2,39,1,7,2011,17,4,4,43.99865278,-122.90530278,23,0,2,3,4,0,8,98,0,2,0,81,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410013,1,1,1,27,1,5,2011,1,11,1,45.71041944,-121.50628889,8,0,1,1,1,1,2,1,0,1,0,43,2,0,0,0,0,9,0,0,0,0,1,0,0,0.0,1,999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410014,3,2,2,51,1,5,2011,2,15,6,45.522725,-122.55867778,14,0,1,1,4,0,3,10,0,1,1,37,2,2,0,0,0,9,0,0,1,0,0,0,0,0.0,0,75,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410015,1,0,1,41,1,5,2011,20,6,4,44.55335278,-124.06678611,2,0,1,1,1,0,2,99,0,1,0,58,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410016,1,1,1,15,1,6,2011,17,2,2,42.05393056,-124.26420278,8,0,1,1,1,0,2,10,0,1,0,45,2,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410017,2,0,2,27,1,6,2011,17,2,3,45.46168889,-121.57989722,12,6,1,1,1,0,2,1,0,1,1,63,2,0,0,0,0,9,1,0,0,0,1,0,0,0.0,1,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
410018,1,0,1,47,1,6,2011,20,4,4,44.74766944,-122.94121111,42,0,1,1,6,0,2,2,0,1,1,33,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410019,1,0,3,39,1,7,2011,6,2,3,43.64742222,-122.20781111,42,0,1,1,6,0,2,5,0,2,0,21,3,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410020,2,0,6,47,1,7,2011,11,4,4,45.08564444,-122.74349444,12,6,2,2,1,0,1,1,0,2,0,31,4,2,0,0,1,9,2,0,0,0,0,0,0,0.0,0,999,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
410021,1,0,1,5,1,1,2011,16,3,3,45.16591111,-122.52690278,30,0,1,1,4,0,1,10,0,1,0,18,0,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410022,2,0,2,47,1,3,2011,15,11,1,44.86346944,-123.00826111,12,98,1,1,1,0,1,98,1,1,1,47,1,1,0,0,0,9,0,0,0,0,0,1,0,1.0,0,999,1,0,0,0,0,65,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
410023,1,1,2,47,1,4,2011,23,16,6,44.97312222,-122.96921667,8,0,1,1,1,0,3,5,0,1,0,24,3,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1
410024,1,1,1,17,1,4,2011,22,13,2,44.06878611,-121.30254444,8,0,1,1,1,0,2,1,0,1,0,42,2,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,7
410025,1,0,1,29,1,5,2011,16,11,1,42.19509167,-122.67290278,21,0,1,1,3,0,1,1,0,1,0,69,1,0,0,0,0,9,0,0,0,0,1,0,0,0.0,1,999,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410026,1,0,1,29,1,6,2011,3,1,1,42.41373889,-123.15428333,1,0,1,1,1,0,3,1,0,1,1,29,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410027,1,0,1,25,1,7,2011,7,3,3,43.24400833,-118.95609444,1,0,1,1,4,0,1,5,0,1,0,56,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410028,1,0,2,47,1,1,2011,5,3,4,44.83938056,-122.98727778,1,0,1,1,5,0,3,5,0,1,1,23,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410029,1,0,3,41,2,3,2011,10,2,2,44.47974444,-124.07989167,42,0,1,1,4,0,1,1,0,2,1,26,3,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,1
410030,2,0,2,5,2,1,2011,21,13,3,45.37857778,-122.29123056,12,1,3,3,1,0,3,10,0,1,1,38,2,0,0,0,0,9,1,0,0,0,1,0,0,0.0,0,999,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
410031,2,0,4,51,2,2,2011,2,13,2,45.56379444,-122.59323056,12,6,2,2,1,0,3,2,0,1,1,32,1,3,0,0,0,9,0,0,2,0,0,0,0,0.0,0,999,1,0,0,1,0,99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
410032,2,0,3,57,2,3,2011,15,3,3,45.47461944,-123.72667222,12,2,1,1,1,4,1,1,0,2,0,35,1,2,0,0,0,9,1,0,0,0,1,0,0,0.0,1,999,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,99,0
410033,1,0,1,45,2,4,2011,9,1,1,44.16891667,-117.12550833,31,0,1,1,3,0,1,1,0,1,0,56,0,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410034,1,1,1,39,2,4,2011,19,13,3,44.05386944,-122.93491944,8,0,1,1,1,0,3,1,0,1,0,53,1,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410035,2,0,3,51,2,4,2011,22,14,6,45.56676111,-122.53544444,1,0,2,3,1,0,3,10,0,1,1,38,2,1,0,0,0,9,1,0,0,0,0,0,0,1.0,1,999,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0
410036,1,1,1,67,2,7,2011,18,13,3,45.48873333,-122.81805833,9,0,1,1,1,8,3,2,0,1,0,47,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410037,1,0,1,47,2,5,2011,10,3,4,44.96363333,-122.80946111,42,0,1,1,6,0,1,1,0,1,0,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410038,1,4,1,1,2,6,2011,5,1,1,44.62928611,-117.51824444,8,0,1,1,3,0,2,4,0,1,0,27,1,4,0,0,0,9,1,0,0,0,0,0,0,0.0,1,999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410039,2,0,6,43,2,6,2011,13,2,2,44.42891944,-121.90132222,12,2,1,1,1,0,1,10,0,1,0,45,3,3,0,0,0,1,0,0,2,0,0,0,0,0.0,0,999,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,99,0
410040,3,0,9,17,2,7,2011,15,2,2,43.85656111,-121.41244722,12,6,1,1,1,0,1,4,0,1,0,35,5,4,0,0,0,0,0,1,2,0,0,0,0,0.0,1,999,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
410041,3,0,7,47,2,7,2011,16,3,4,44.99154444,-122.88899167,12,1,2,2,1,0,1,1,0,1,1,21,4,3,0,0,0,9,0,3,0,0,0,0,0,0.0,0,999,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,99,0
410042,1,0,1,51,2,7,2011,7,14,6,45.609725,-122.70811944,25,0,1,1,3,0,4,1,0,1,0,63,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410043,1,1,1,55,3,4,2011,23,1,1,45.71101111,-120.68693056,18,0,1,1,1,0,2,1,0,1,0,49,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410044,2,0,4,7,2,1,2011,10,2,2,45.91193333,-123.70823611,14,0,1,1,4,0,1,10,0,1,0,24,2,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410045,1,1,1,11,3,4,2011,18,13,6,43.39170556,-124.270625,8,0,1,1,1,0,2,99,0,1,0,44,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410046,2,0,2,51,3,6,2011,6,2,2,45.68628056,-122.87292222,12,2,1,1,1,0,4,2,0,1,0,49,2,0,0,0,0,9,1,0,0,0,1,0,0,0.0,1,999,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
410047,1,0,1,67,3,1,2011,19,4,4,45.55280556,-122.85318889,42,0,1,1,4,0,3,1,0,1,0,18,1,0,0,0,0,9,0,0,0,0,0,0,0,1.0,0,999,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410048,1,0,2,43,3,4,2011,18,6,4,44.39060278,-122.63065,1,0,1,1,4,0,5,10,0,1,1,58,2,0,0,0,1,9,0,0,1,0,0,0,0,0.0,0,999,1,0,0,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410049,3,0,3,5,3,5,2011,12,2,2,45.30614722,-121.79043056,12,2,1,1,1,0,1,4,0,1,1,44,3,0,0,0,0,9,2,0,0,0,1,0,0,0.0,1,999,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,99,0
410050,1,0,1,39,3,7,2011,2,4,4,43.98927222,-123.29713889,42,0,1,1,4,0,2,10,0,1,0,24,0,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
