ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN,ROAD_FNC
410001,1,1,1,71,1,5,2015,6,3,45.0962,-123.4242972,15,0,1,1,1,0,3,1,0,1,0,73,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,1,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,5
410002,2,0,3,43,1,5,2015,19,3,44.55538889,-123.0301944,12,2,1,1,1,0,2,1,0,2,0,20,2,1,0,0,1,9,2,0,0,0,0,0,0,0.0,0,999,0,0,0,2,9,55,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0,3
410003,1,1,1,51,1,5,2015,18,2,45.47661667,-122.5346667,8,0,3,3,1,0,2,1,0,1,0,51,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
410004,2,0,3,67,1,1,2015,10,4,45.53831111,-123.0423361,12,2,1,1,1,0,1,2,0,1,0,42,1,2,0,0,0,0,1,0,1,0,0,0,0,0.0,0,999,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0,5
410005,2,0,4,67,1,3,2015,7,4,45.41917222,-123.0398472,12,7,1,1,1,0,4,1,0,1,0,23,1,3,0,0,0,9,0,0,2,0,0,0,0,0.0,0,999,0,1,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,0,5
410006,1,2,1,47,1,2,2015,17,6,44.95018333,-122.9934333,8,0,4,1,1,0,3,10,0,2,0,57,2,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,3
410007,1,0,1,29,1,6,2015,19,4,42.535025,-123.1901583,1,0,2,3,1,0,2,5,0,1,1,38,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,6
410008,1,1,2,3,1,1,2015,17,3,44.587275,-123.2539444,8,0,1,1,1,0,2,10,0,1,0,60,2,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,3
410009,1,0,1,9,1,3,2015,18,3,45.92410556,-123.1420111,1,0,1,1,5,0,2,10,0,1,1,35,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,4
410010,1,0,1,35,1,1,2015,2,4,42.03869722,-121.5482389,30,0,1,1,4,0,2,2,0,1,1,18,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,7
410011,1,1,1,67,1,4,2015,2,3,45.44081944,-122.7495528,8,0,1,1,1,0,3,1,0,1,0,37,1,1,0,0,0,9,0,0,0,0,0,0,0,0.0,1,999,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,3
